iter	Passed	Remaining
0	1	125
1	2	121
2	3	113
3	4	105
4	5	102
5	6	98
6	7	95
7	8	94
8	9	91
9	9	89
10	10	87
11	11	86
12	12	84
13	13	82
14	14	81
15	15	80
16	16	79
17	17	77
18	18	77
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	70
25	24	69
26	25	67
27	26	66
28	26	65
29	27	64
30	28	63
31	29	63
32	30	61
33	31	60
34	32	59
35	33	59
36	34	57
37	34	57
38	35	56
39	36	55
40	37	54
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	45
49	45	45
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	32
63	57	32
64	58	31
65	59	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	24
72	65	24
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
